# Hutchinson-Knopoff g(y) table
# Source: Hutchinson, W., & Knopoff, L. (1978). The acoustic
# component of Western consonance. Interface, 7(1), 1-29. Figure 1.
# Extraction: WebPlotDigitizer (automeris.io/wpd). Project file
# archived at data/hk1978_g_table_wpd_project.tar.
# Calibration and extraction parameters: see
# data/hk1978_g_table_provenance.txt (contents transcribed from
# the operator's digitisation metadata).
# Date of digitisation: 2026-05-23
# Maintainer: Luis Raimundo, Universidade NOVA de Lisboa.
# SEE ALSO REFERENCES.md.
y,g
0.000000,0.000000
0.025000,0.194441
0.050000,0.418420
0.075000,0.582226
0.100000,0.714813
0.125000,0.813897
0.150000,0.880984
0.175000,0.930554
0.200000,0.965817
0.225000,0.986295
0.250000,1.000000
0.275000,0.988390
0.300000,0.967179
0.325000,0.934061
0.350000,0.892807
0.375000,0.845261
0.400000,0.792199
0.425000,0.735995
0.450000,0.681237
0.475000,0.627095
0.500000,0.573413
0.525000,0.521997
0.550000,0.473464
0.575000,0.429120
0.600000,0.386290
0.625000,0.347416
0.650000,0.309707
0.675000,0.275541
0.700000,0.244064
0.725000,0.215817
0.750000,0.189246
0.775000,0.164863
0.800000,0.142633
0.825000,0.120810
0.850000,0.104050
0.875000,0.088163
0.900000,0.072946
0.925000,0.061191
0.950000,0.049581
0.975000,0.040503
1.000000,0.032123
1.025000,0.025140
1.050000,0.019291
1.075000,0.013966
1.100000,0.012570
1.125000,0.010475
1.150000,0.010475
1.175000,0.007894
1.200000,0.000000
