# LEGACY: visually digitised, uncalibrated. Retained for the
# regression test introduced in commit <SHA>. Not for production
# use. Superseded by data/hk1978_g_table.csv.
# Source: Hutchinson, W., & Knopoff, L. (1978), Figure 1 (g(y) lookup curve)
# Extraction method: visual digitisation; uncalibrated
# Extraction date: 2026-05-23
# Maintainer: Luís Raimundo
# Columns: y,g
y,g
0.00,0.000
0.05,0.150
0.10,0.300
0.15,0.450
0.20,0.550
0.25,0.600
0.30,0.650
0.35,0.680
0.40,0.700
0.45,0.680
0.50,0.650
0.55,0.600
0.60,0.550
0.65,0.480
0.70,0.400
0.75,0.320
0.80,0.250
0.85,0.180
0.90,0.120
0.95,0.070
1.00,0.040
1.05,0.020
1.10,0.010
1.15,0.005
1.20,0.000
